id,utm_easting,utm_northing,canopy_top_m,canopy_radius_m,provenance
tree_262,681502.14,1191386.65,8.73,4.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_263,681502.39,1191386.65,8.74,4.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_264,681565.39,1191384.65,13.08,5.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_265,681396.14,1191384.4,17.42,6.05,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_266,681332.14,1191383.9,21.05,6.9,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_267,681610.14,1191382.65,24.97,6.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_268,681468.39,1191382.15,11.17,2.69,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_269,681444.64,1191378.9,21.06,8.39,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_270,681604.39,1191378.9,26.03,7.2,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_271,681622.39,1191378.15,26.47,4.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_272,681616.39,1191375.65,25.78,4.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_273,681616.64,1191375.65,25.84,4.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_274,681352.89,1191369.4,23.98,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_275,681352.89,1191369.15,23.93,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_276,681439.64,1191366.15,17.31,3.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_277,681517.64,1191363.9,12.1,3.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_278,681517.89,1191363.9,12.1,3.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_279,681592.64,1191360.65,29.71,6.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_280,681430.39,1191360.4,18.76,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_281,681430.64,1191360.4,18.76,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_282,681430.89,1191360.4,18.76,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_283,681592.64,1191360.4,29.71,6.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_284,681592.64,1191360.15,29.71,6.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_285,681592.64,1191359.9,29.71,6.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_286,681592.64,1191359.65,29.71,6.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_287,681373.39,1191359.4,20.62,6.54,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_288,681373.14,1191359.15,20.62,6.54,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_289,681373.39,1191359.15,20.62,6.54,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_290,681607.14,1191359.15,23.04,4.03,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_291,681379.89,1191358.4,20.23,7.46,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_292,681364.39,1191357.65,17.98,5.39,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_293,681582.89,1191357.65,30.6,3.36,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_294,681368.64,1191356.9,20.31,5.86,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_295,681606.64,1191355.4,22.98,3.91,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_296,681572.64,1191355.15,20.82,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_297,681572.39,1191354.9,20.86,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_298,681572.64,1191354.9,20.96,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_299,681356.14,1191353.4,15.44,6.15,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_300,681522.39,1191353.4,4.6,1.46,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_301,681601.89,1191352.65,23.26,4.03,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_302,681554.89,1191350.9,22.24,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_303,681582.64,1191348.65,30.62,6.05,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_304,681596.64,1191344.15,18.36,3.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_305,681374.64,1191343.15,16.19,4.91,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_306,681358.64,1191340.4,17.41,7.79,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_307,681553.64,1191339.9,14.29,3.58,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_308,681387.89,1191338.9,18.1,5.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_309,681578.14,1191337.9,24.09,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_310,681578.39,1191337.9,24.09,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_311,681578.64,1191337.9,24.08,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_312,681590.89,1191337.9,16.09,3.51,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_313,681591.14,1191337.9,15.98,3.51,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_314,681578.39,1191337.65,24.09,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_315,681578.64,1191337.65,24.08,2.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_316,681497.89,1191335.9,9.4,4.67,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_317,681544.89,1191334.9,17.13,6.49,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_318,681564.39,1191334.9,24.92,2.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_319,681544.89,1191334.65,17.13,6.49,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_320,681563.89,1191334.65,24.96,2.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_321,681564.14,1191334.65,24.96,2.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_322,681564.39,1191334.65,24.96,2.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_323,681382.39,1191333.9,18.85,4.42,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_324,681382.14,1191333.65,18.85,4.42,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_325,681361.64,1191331.65,19.74,7.91,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_326,681529.14,1191329.4,17.34,2.8,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_327,681551.89,1191328.4,20.24,1.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_328,681551.89,1191328.15,20.45,1.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_329,681359.89,1191324.15,19.21,6.8,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_330,681472.89,1191324.15,16.55,2.14,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_331,681472.89,1191323.9,16.57,2.14,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_332,681534.64,1191323.9,17.3,5.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_333,681534.89,1191323.9,17.3,5.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_334,681563.14,1191323.65,23.43,4.83,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_335,681548.64,1191323.4,21.17,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_336,681548.14,1191322.9,20.92,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_337,681486.89,1191321.4,18.54,7.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_338,681473.14,1191321.15,16.64,2.36,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_339,681472.89,1191320.9,16.63,2.36,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_340,681523.39,1191320.9,18.39,6.31,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_341,681531.14,1191320.4,16.71,4.14,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_342,681471.64,1191319.9,16.6,2.36,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_343,681554.64,1191316.65,24.5,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_344,681374.39,1191313.9,14.4,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_345,681374.64,1191313.9,14.4,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_346,681374.89,1191313.9,14.4,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_347,681375.14,1191313.9,14.39,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_348,681375.39,1191313.9,14.39,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_349,681375.64,1191313.9,14.39,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_350,681375.89,1191313.9,14.39,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_351,681376.14,1191313.9,14.39,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_352,681376.39,1191313.9,14.39,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_353,681376.64,1191313.9,14.39,3.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_354,681570.39,1191313.4,17.49,3.82,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_355,681368.14,1191312.4,14.58,3.88,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_356,681482.39,1191311.65,15.64,3.16,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_357,681464.39,1191311.4,13.21,4.56,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_358,681489.39,1191309.15,15.87,4.14,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_359,681334.64,1191308.4,14.34,4.04,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_360,681361.64,1191308.4,14.32,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_361,681361.89,1191308.4,14.33,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_362,681543.89,1191308.15,27.16,6.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_363,681565.64,1191306.4,15.59,2.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_364,681508.64,1191305.65,18.43,6.8,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_365,681383.14,1191305.4,13.89,4.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_366,681452.14,1191304.9,12.93,4.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_367,681494.14,1191304.9,12.96,5.15,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_368,681593.39,1191303.15,7.92,1.52,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_369,681596.39,1191302.4,8.42,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_370,681539.64,1191302.15,28.08,5.94,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_371,681539.64,1191301.9,28.08,5.94,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_372,681347.64,1191301.4,14.47,4.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_373,681539.39,1191301.15,28.08,5.94,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_374,681473.89,1191300.65,12.02,5.15,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_375,681486.64,1191299.65,10.67,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_376,681386.64,1191299.4,14.62,2.46,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_377,681555.89,1191299.4,27.91,3.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_378,681338.89,1191298.15,14.55,4.7,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_379,681497.64,1191295.9,17.86,4.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_380,681435.64,1191294.15,11.81,4.83,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_381,681382.64,1191293.15,14.91,3.91,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_382,681430.89,1191292.4,12.05,4.74,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_383,681431.14,1191292.4,12.05,4.74,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_384,681457.89,1191292.15,12.65,4.92,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_385,681457.89,1191291.9,12.65,4.92,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_386,681556.14,1191291.9,26.73,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_387,681556.39,1191291.65,26.65,2.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_388,681468.64,1191290.4,13.0,4.42,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_389,681373.64,1191288.4,15.0,4.42,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_390,681484.39,1191287.9,23.11,4.12,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_391,681367.89,1191287.65,14.47,4.26,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_392,681368.14,1191287.65,14.53,4.26,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_393,681392.14,1191285.4,14.64,5.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_394,681418.64,1191285.4,14.04,5.71,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_395,681517.14,1191283.4,26.16,6.04,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_396,681355.89,1191282.4,14.27,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_397,681356.14,1191282.4,14.27,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_398,681440.39,1191282.4,12.51,5.06,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_399,681350.39,1191280.65,14.09,3.69,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_400,681412.89,1191280.4,13.72,4.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_401,681535.39,1191279.4,19.75,4.24,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_402,681434.89,1191279.15,9.85,4.47,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_403,681492.14,1191277.15,9.14,2.55,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_404,681379.64,1191276.65,14.48,4.43,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_405,681505.64,1191272.9,28.48,6.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_406,681341.14,1191272.4,15.39,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_407,681525.39,1191270.9,27.23,5.7,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_408,681529.64,1191270.65,27.09,5.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_409,681499.39,1191269.4,26.62,4.03,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_410,681419.14,1191268.4,13.42,4.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_411,681464.39,1191266.9,8.72,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_412,681452.14,1191264.4,11.32,3.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_413,681451.64,1191264.15,11.32,3.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_414,681451.39,1191263.9,11.32,3.35,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_415,681517.64,1191262.9,29.24,6.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_416,681517.64,1191262.65,29.24,6.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_417,681492.64,1191259.4,26.06,6.56,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_418,681492.64,1191259.15,26.06,6.56,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_419,681489.14,1191257.4,26.07,6.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_420,681489.39,1191257.4,26.06,6.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_421,681387.39,1191256.65,11.41,3.4,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_422,681444.89,1191254.15,13.17,5.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_423,681484.64,1191252.4,26.25,6.49,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_424,681391.89,1191250.4,11.46,4.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_425,681435.64,1191248.9,14.11,7.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_426,681423.14,1191243.4,14.99,4.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_427,681423.39,1191243.15,14.97,4.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_428,681544.89,1191243.15,20.12,2.06,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_429,681475.14,1191242.15,29.05,5.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_430,681474.89,1191241.65,29.05,5.27,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_431,681490.89,1191239.15,25.02,6.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_432,681465.14,1191235.9,27.0,7.08,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_433,681487.14,1191235.15,26.28,6.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_434,681487.39,1191235.15,25.89,6.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_435,681451.64,1191222.15,24.22,6.13,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_436,681477.14,1191222.15,30.71,3.72,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_437,681470.64,1191219.65,26.24,3.47,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_438,681482.64,1191217.15,25.0,1.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_439,681514.39,1191215.4,12.72,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_440,681514.64,1191215.4,12.72,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_441,681514.89,1191215.4,12.72,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_442,681515.14,1191215.4,12.72,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_443,681515.39,1191215.4,12.72,4.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_444,681464.39,1191214.15,25.87,4.78,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_445,681441.14,1191212.4,25.56,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_446,681441.39,1191212.4,25.56,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_447,681459.89,1191208.9,23.95,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_448,681453.64,1191205.65,25.42,5.59,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_449,681453.14,1191205.4,25.42,5.59,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_450,681429.39,1191200.15,24.69,5.22,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_451,681423.89,1191195.9,26.03,5.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_452,681444.14,1191194.65,26.71,6.18,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_453,681408.14,1191191.15,24.5,8.17,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_454,681407.39,1191190.9,23.99,8.17,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_455,681438.39,1191190.9,28.06,5.5,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_456,681432.64,1191181.65,25.36,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_457,681432.64,1191181.4,25.21,4.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_458,681442.89,1191181.4,24.02,1.9,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_459,681421.89,1191174.65,21.44,5.9,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
